,Product,Rating,Text,Date,Country,ASIN,Stars,Vader Sentiment,Length,Number of Words,Grammar Matches
19,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"I love these headsets, they sound fantastic and are at a reasonable price. The purchase and delivery went smoothly as expected. I have purchased these headsets a few times and will continue as I need replacements. I only need replacements because I lose them. Charges quickly and charge lasts for a long time. Fit works well for my ears. I keep them slightly loose as I like to hear atmospheric noise and traffic, so I cannot comment on the complete noise cancellation if that is important to you. Highly recommend you give these a shot - you will not be disappointed.","September 26, 2022",United States,B09LCVHCVX,5,0.9322,568,101,0
20,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",1.0 out of 5 stars,I wanted a cheaper pair of earbuds to take to work so I wouldn't have to take my Airpods back and forth. The sound quality and the battery life of the case are nice. I like the case better than my Airpod one because it has a battery indicator light. I would definitely recommend.,"October 8, 2022",United States,B09LCVHCVX,1,0.9081,279,54,3
21,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"I got these headphones a month ago and I have only charged them once. The battery life is amazing! They’re super compact and sleek. One of the best purchases. Love the pale pink color too. Easy to charge and the sound is great, I really like how it lights up green to show it’s charged.","October 14, 2022",United States,B09LCVHCVX,5,0.9766,286,55,2
22,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",4.0 out of 5 stars,"I bought these with pretty low expectations, as I had another pair of cheap ear buds that were fine for phone calls and watching videos, etc., but were awful for music.  THESE ARE ACTUALLY PRETTY GOOD FOR MUSIC.  The bass is full, the mids are clear, the highs are crisp.  Sound-wise, I'd rate these just as good as Airpods (which I had but accidentally ran through the wash!).","September 21, 2022",United States,B09LCVHCVX,4,0.9292,377,68,2
23,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"Great product, best airpod replacement I've found.  Just as compact and reliable, but for less than 20 bucks.  Outstanding.Needs EQ to perform at its best; my spotify EQ profile is attached.  I can go from my Sennheiser 560s to these and not feel like I'm missing too much.A total steal at this price.  I have two in addition to OG airpods which are starting to wear out.","October 2, 2022",United States,B09LCVHCVX,5,0.2926,371,67,5
24,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",4.0 out of 5 stars,"Not fantastic noise cancellation, but really can’t complain with how little I paid. The fit in my ears is a little weird/hard to get used to but I’m pretty picky so it’s probably just me. Microphone works great. Very touch sensitive/responsive, so definitely read up on instructions.Read previous reviews that said the connectivity isn’t great but I have no problem walking around my house without carrying my phone and without losing connection. Loving them so far!","September 20, 2022",United States,B09LCVHCVX,4,0.9195,466,76,4
25,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"I have been using the earbuds everyday and absolutely love them.  They are gracefully designed, fit great in my ear, easy to set up, lightweight for long periods of wear and great sound quality.  Will be getting additional pairs for my car and my husband.","October 13, 2022",United States,B09LCVHCVX,5,0.9701,255,45,1
26,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",4.0 out of 5 stars,"I bought these because I upgraded my phone and it no longer has an audio jack for wired headphones/earbuds. I bought these specifically because I prefer ones that sit on my ear for comfort (I have small ears) rather than completely in my ear canal. I'm happy to report that these are perfect for my tiny ears, are comfortable, and the battery life is great. Sound is good for the price. I don't use them a whole bunch, but I've only had to charge the case once since I've had it (one month).","September 25, 2022",United States,B09LCVHCVX,4,0.8591,491,93,3
27,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"These work really well for the price.They are not  noise cancelling but they do a good job of ""muting"" other noisesthere is  a static sound when the music stops playing but its not loud at all.I would highly recommend these tho!","October 9, 2022",United States,B09LCVHCVX,5,0.8786,228,41,8
28,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"The quality is just as good as Apple pods. They sound great, charge fast, hold a charge, and are comfortable. Great value","October 17, 2022",United States,B09LCVHCVX,5,0.9501,121,22,0
29,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"There ok for the price. Battery life is short, falls out my ears constantly. I went back back to my Motorola earpiece.","October 19, 2022",United States,B09LCVHCVX,5,0.296,118,22,1
30,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",1.0 out of 5 stars,Really happy with these earbuds. I didn't want to spend a lot of money as I'm notorious for losing things like this. I bought them for a short plane ride and they worked great! Sound quality was perfect and they worked exactly as expected. Would certainly buy them again!,"October 14, 2022",United States,B09LCVHCVX,1,0.911,271,49,2
31,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",4.0 out of 5 stars,"I like it because it keeps me company, I'm in my own world for the amount of time I'm working out or just working. The battery life was just right for the amount of times its useful for, and the noise cancellation was the best I don't have to bother with others conversations or gossips lol...","October 11, 2022",United States,B09LCVHCVX,4,0.8532,293,56,1
32,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"These seriously could rival Apple AirPods.They're so lightweight, great sound and never fall out. I use them for running and have no issues!I love them. Set up took about 30 seconds. Would definitely recommend.","October 17, 2022",United States,B09LCVHCVX,5,0.9036,210,34,2
33,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"These ear buds are similar to air pods.  Te noise canceling is great, sound is clear and good.  So far the battery life has been lasting for a couple days, depending on use.","October 16, 2022",United States,B09LCVHCVX,5,0.8625,173,33,2
34,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"Sound quality is super crisp and clear for the the price. I’ve only owned these for a few hours and so far battery life is really good. The overall quality of the ear phones and the box are both very good quality. The charging box looks professionally put together not fragile and same for ear phones. For the low cost I’m very pleased with everything, definitely worth the money!! Oh yeah and the bass knocks with no distortion","September 29, 2022",United States,B09LCVHCVX,5,0.9593,428,78,3
35,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"Overall, pretty good for $20. I'm honestly impressed.They stay in my ears while I work, they fit in those airpod cases (see picture), and they last about 7h before they need to go back in the case to charge.  Almost a full shift! I'm honestly enjoying that I can look like I can afford the expensive airpods while not spending all that much money.As long as your ears are clean They stay in pretty well and only fall out if I Bob my head.  Of all the times they've fallen out they're not damaged.So far so good.  Will update if I start to find issues.","August 30, 2022",United States,B09LCVHCVX,5,0.9802,551,105,5
36,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"Okay… if your like me and don’t want to spend a lot on Apple AirPods right this second then these are the PERFECT dupes!!! The sound quality is amazing and they fit perfectly in my purse, they charge fast and have great battery life! Oh and they feel great on the ears! As far as noise cancellation goes I’m not sure if I notice much of that yet? TMI but I do suffer from chronic ear impaction frequently ie ear wax buildup… anywho these are a bang for the buck!!! :)","September 24, 2022",United States,B09LCVHCVX,5,0.9167,467,91,4
37,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",4.0 out of 5 stars,We bought these headphones for our son who wanted a pair of apple AirPods. He’s still pretty young and isn’t responsible for his things. We decided to try these headphones and were so surprised the sound quality and battery life are great. He loves these headphones. Definitely worth trying and so affordable.,"October 8, 2022",United States,B09LCVHCVX,4,0.9606,309,52,1
38,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"I have other more expensive earbuds before buying this pair.  I found this pair is working as well, if not better, as the ones I used to have.  I see some of the cons in other reviews but I found none of the issues people mentioned.  I never had any issues connecting to a phone or to a computer even if those devices have other Bluetooth devices configured.  Just be sure to check if any other Bluetooth devices have been actively connected while you're trying to make a connection.  If so, just disconnect (not remove) the others before attempting to make a new connection.  This pair of Bluetooth earbuds work well for me and that's all I need.","September 10, 2022",United States,B09LCVHCVX,5,0.8125,647,118,4
39,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,So much easier to fall asleep listening to my favored music and not get tangled in earphone wires.My cats chewed on the wires and now I do not have to worry with the wireless buds.  They are great.,"October 14, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9078,197,38,2
40,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",1.0 out of 5 stars,"These work great, no issues a few days in. They look like Apple earbuds, and have a pretty good range from the location of the phone. For the price, I'd say they're a winner!","October 18, 2022",United States 🇺🇸,B09LCVHCVX,1,0.9392,174,34,0
41,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"The sound quality is great, no complaints.  What surprised me is how well they stay in my ear and how comfortable they are.  I just completed a bumpy 25 miles mountain bike ride and they stayed in perfectly.","October 13, 2022",United States 🇺🇸,B09LCVHCVX,5,0.8934,207,38,1
42,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,Love these as I no longer have to worry about cords with my earbuds.  They sound great.  I only wish they had their own volume control otherwise they are great!,"October 16, 2022",United States 🇺🇸,B09LCVHCVX,5,0.906,160,30,0
43,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,Love these!  I am 80 years old and found them easy to set up.  The sound is great and will keep me from having my cell phone up to my ear for long periods of time.,"October 14, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9098,163,36,0
44,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"Great headphones! Intuitive to use, great sound quality and long battery life. Noise cancellation could be better but not a priority for me. They are also very comfortable, haven’t tried using them for a workout though","October 12, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9048,218,36,0
45,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"These earbuds are absolutely amazing!! The quality is great. I've had them for over a month. The battery life and sound are great as well. If you looking for a reasonably priced pair of quality earbuds, these are it!!!!","October 10, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9482,219,39,1
46,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"Initially, the EarPods didn’t fit as I would’ve liked but I did get used to it and the sound quality is great.. Plus, the others can hear me with excellent sound..","October 18, 2022",United States 🇺🇸,B09LCVHCVX,5,0.8271,163,31,4
47,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"I love my ear buds so much, I use them every day at work. They are very very easy to connect and works very well with my phone. I will continue to purchase this product","October 12, 2022",United States 🇺🇸,B09LCVHCVX,5,0.8769,168,35,1
48,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"Overall these are great value wireless earbuds. I didn't want to shell out hundreds of dollars for Apple Airpods and I'm very happy with these. The sound quality is good, the earbuds fit very securely in my ears and they work pretty seamlessly with Bluebooth enabled devices. I wish the battery life were better but  for the price, these are pretty great. Would recommend.","September 16, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9804,372,64,5
49,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"I bought these earbuds for my gf. She loved the color and how easily they connected to her phone. She’s been using them even at work, and she loves how great they sound. I would definitely recommend this product; you get a great product for a very affordable price!","October 9, 2022",United States 🇺🇸,B09LCVHCVX,5,0.9741,265,49,1
50,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",1.0 out of 5 stars,"Just received yesterday and so far live the ear buds. Had a bit of a start up problem with the left ear more dominate than the right. Little adjustment and now are working good, reason for four stars. Will edit in future if necessary to do so","September 22, 2022",United States 🇺🇸,B09LCVHCVX,1,-0.1513,242,47,1
51,"Wireless Earbuds, yobola Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness",5.0 out of 5 stars,"I had an issue with an earbud after 5 months of use so I contacted customer service, they replied promptly and went above and beyond to resolve the issue.","October 18, 2022",United States 🇺🇸,B09LCVHCVX,5,0.3818,154,29,1
