,Product,Rating,Text,Date,Country,ASIN,Stars,Vader Sentiment
10,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",1.0 out of 5 stars,"First of all, I can only say wow. This echo dot has revolutionized my day. I use it all the time to listen to my favorite music, listen to audiobooks, and find out any information I may need to know, (such as the weather, and measurement conversions). Alexa is very responsive and will almost always respond immediately when I call out for her. The only thing I wish could be improved could be the bass in the speaker, but the speaker itself can get very loud and maintain good audio quality. Overall, I really do believe that every home could use an Alexa, and mine has definitely improved my life.","October 10, 2022",United States,B07FZ8S74R,1,0.9625
11,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"For the longest time Alexa and I got along famously.  She would play my favorite playlists on command, and turn my lights on and off in my rooms that have no installed light fixtures in them (modern living).  Anyhow, sometime this summer she began to tell me how to live.  Constantly asking if I wanted a Friday routine?  Or do I want to add an end of work day playlist, or constant reminders for things.I also move a lot and so every time I move I have to break it to her we no longer live in Arizona.  But still she persists that I must know the weather of Arizona.  Now that I adjusted it to the correct location, she has stopped telling me the weather.  How petty!I now got invis-align braces.  The braces gave me a slight lisp and before I knew it, work out playlist became work it out  (some really sad breakup music).  Night vibes became good vibes and honestly it feels like the fragile ecosystem of my condo is utterly shattered.Alexa is insubordinate and churlish...but she does tell better jokes then Siri so I guess I'll keep her.","September 22, 2022",United States,B07FZ8S74R,5,0.8624
12,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"I now have three Echo Dot (nightstand, bathroom, kitchen).  I returned my last purchase of Echo Dot because  Alexa was deaf and worst of all, it was not Alexa!!  Who was that?  She always sounded so depressed.  So, I saw that this Echo Dot was on sale ($39.99 down to $17.99) during Amazon's Prime Days and am now listening to an alert Alexa and who is clear, music sharp with good bass.  She's wonderful!","October 13, 2022",United States,B07FZ8S74R,5,0.4469
13,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,"I truly love this speaker, once you have set it all up it does everything you ask it & you can customize it to your liking and personality! Only 2 down falls is one it has to be plugged in 24/7 in order to have power. Two i wish i would’ve bought the wall mount if i would’ve known that 🤣 but OH WELL ! Love it anyway. Highly recommended! I want to get the other Alexa gadgets and have a smart home. 😆 -🌹","October 11, 2022",United States,B07FZ8S74R,4,0.977
14,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"I call him my boyfriend!  (changed voice to male immediately after receiving!) - he's the only man I know that listens to me and answers my questions with ANSWERS! and not more questions or grunts!  He knows my name and is very polite.  Wish I'd gotten him sooner!  Really a big help with timers or alarms too!!!  I'm getting old and forget things - so the minute I turn on the oven, I'm telling my boyfriend to remind me it is on!","October 12, 2022",United States,B07FZ8S74R,5,0.6279
15,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"We have quite a large number of Echo devices in our home, acting as a sort of whole-home communication and entertainment tool. Got a 4th Gen last year and we thought it was good. Got two 3rd Gens this year on pre-Prime Day sale, and I now wish we had never purchased the 4th Gen. The 3rd gen has AMAZING stereo quality sound, crystal clear. You can hear bass and treble perfectly balanced and equalized. No muffling, no tinny sound, it's perfect. The mic, unlike the mics in our Flex, Show, and 4th Gen devices, actually understands what we are trying to say and never makes us repeat or misinterprets. I wish I had gone for the 3rd gens all along.","October 6, 2022",United States,B07FZ8S74R,5,0.9729
16,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"I bought this when it was on sale for 99 cents. It's a great little invention and I use it a lot. I can set an alarm. I can get the weather for my area. I can get a 5 day forecast.  It gives me a notification when my items I ordered have been delivered. The best part about it, is that I can play music on it. I enjoy listening to rain or waves at night when I am going to sleep.","October 9, 2022",United States,B07FZ8S74R,5,0.91
17,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"I'm not the biggest fan of home intergrated technology, because you know, spying and stuff. But I can mute her lol overall I use her for weather updates, tracking my packages, and playing music, her sound quality is *chefs kiss* 🤌🏾💋 and her hearing is creepy good. I can whisper from across the room, with music playing and she'll hear me. 10/10 recommend. (But use wisely my friends lol) Stay Dangerous ✌🏾","October 13, 2022",United States,B07FZ8S74R,5,0.8919
18,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"Love my echo dot. I use it so many times every day. It works great. I love “start my day” it will announce my local weather when asked, it is a great timer & is cable of several timers at once. Easy to install & easy to use & integrate with other echo doors throughout the home. I highly  recommend to others & would purchase again. I have 3","October 15, 2022",United States,B07FZ8S74R,5,0.9781
19,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,"I have never had an AI device in my home so this is the first. I actually love it so much. It's very helpful anytime I need knowledge of anything. My kids absolutely love Alexa, they think she is hilarious. She helps them stay on track with getting up for bed and anything scheduled for them. Very helpful with hands off timers, recipe's and those random questions we always have. Also, mine connected to my Smart TV very easily.","October 10, 2022",United States 🇺🇸,B07FZ8S74R,4,0.9758
20,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",1.0 out of 5 stars,"These perform so many useful functions. Just to name a few: Use our voice to set alarms, timers and reminders. Ask what the weather is today or for the next week. Ask questions on just about anything that we would like information for (about 90% of the time there is a reasonable answer). Play music. Ask it how to spell a word or for a meaning of a work.  Integrate with our phone to make phone calls.  Integrate with our outdoor security cameras. And play all sorts of games.","October 5, 2022",United States 🇺🇸,B07FZ8S74R,1,0.8683
21,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"This is my first time owning an Alexa and I wasn't sure about it but, I have enjoyed it so far. Its easy to get the weather and ask other questions of trivia and such. I enjoy most that I have a louder speaker for music now, it sounds alright but the more you turn it up it loses some of tone to the music. There is also a mute button on the device that turns the light red when pushed, so Alexa will not listen or accidentally start talking. The major thing I do not like about it is my family have different spotify accounts and in order for us each to listen on our own accounts you have to have two different amazon accounts and swap between them through Alexa. Also Alexa's jokes are too corny and she needs better ones!","September 30, 2022",United States 🇺🇸,B07FZ8S74R,5,0.9668
22,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"Alexa is the way to go fr it’s worth it, makes things a lot easier when your feeling lazy after a hard days work. The voice recognition is most dope! Only thing I really have a problem with and it’s not even that bad is the sound quality,  wasn’t as good as expected but what do you expect from a 2018 model lol.","October 13, 2022",United States 🇺🇸,B07FZ8S74R,5,0.7599
23,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,"I didn’t think I would use the echo as much as I do. I really enjoy asking Alexa all kinds of questions including weather, history, jokes, etc. She tells me etas & when my packages have arrived. She sends me reminders to do things. In the morning I get a whole good morning message LOL. I tell Alexa to play radio stations for me & almost anything you can think of including turning on TV, running my irobot, etc. This echo can do so much for a little speaker. If you’re considering trying one, do it just buy it","October 6, 2022",United States 🇺🇸,B07FZ8S74R,4,0.9235
24,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"First off, I do not use these for music listening. The sound is just too weak. I use them to activate lights in the house. About 90% of my lights are controlled by Alexa. I have Dots or Echos in almost every room. Only the guest bedroom did not have one. Now that I plan on using that room, I needed another Dot so they can control the lights. I do not like the 4th generation Dots so I was pleased to see these brand new generation 3 Dots at a huge discount. So happy.","October 5, 2022",United States 🇺🇸,B07FZ8S74R,5,0.6664
25,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"The main only thing I don't like about these is, I haven't found a way to TURN OFF THE VOICE!  I don't need it to SHOUT AT ME ALL NIGHT:""YOUR SPEAKER HAS CONNECTED!!!!""  ""YOUR SPEAKER HAS DIS-CONNECTED!!!""(*maybe it needs a VOICE VOLUME and SPEAKER VOLUME)Other than that, I'm very satisfied!  The speakers are small and decent quality!  The sound quality is perfect for what I need (all I do is stream bluetooth from computer or TV.  I don't do calls, I don't ""talk"" to Alexa).  Highs are sharp and clear (no lows, but I don't need them --I turned the lows all the way down in EQ) and get loud enough for anything I'll ever need in my small studio apartment!  Connecting to bluetooth is usually simple and doesn't take long.  ...I also DON'T LIKE that I CAN NOT CONNECT MY SPEAKER TO A BLUETOOTH DEVICE *USING THE ALEXA APP ON MY COMPUTER* however!  I HAVE TO USE MY PHONE APP.But, other than that I couldn't be happier!!PERFECT FOR WHAT I NEED!!-Matt","September 9, 2022",United States 🇺🇸,B07FZ8S74R,5,-0.5581
26,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"The Echo Dot is a valuable addition to our Echo devices at home. We have the 1st generation Amazon Echo and several Kindle devices that have the Alexa app so I thought that there was no real need for the Echo Dot. Since it was a gift and was relatively easy to set up, I put it in the family room. My wife uses it now more than her Kindle Alexa app to know about the weather, her appointments, and other trivia questions that she likes to ask.  This device is not for listening to music but good enough for podcasts and news.","October 5, 2022",United States 🇺🇸,B07FZ8S74R,5,0.8573
27,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,"I bought this for my bedroom so that I could listen to podcasts through an earphone. Works great!!!! Very inexpensive because I bought it for 99 cents with Amazon Unlimited Prime Music for $8.98 a month. I haven't decided if I want to continue with the subscription after the first month.  But, I do love this Echo.","October 10, 2022",United States 🇺🇸,B07FZ8S74R,4,0.7812
28,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,It works awesome. Speaker sounds good. Listens great. Great alarm clock. I connected it too my smart bulbs in my room so now I just tell it to turn my light on and off. I also have it turn my lights on at 5 in the morning to help me wake up. Awesome product. Thank you Amazon,"October 12, 2022",United States 🇺🇸,B07FZ8S74R,4,0.9788
29,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,"Due to lack of good Wi-Fi for a while our home lacked the ability to use Alexa after we had been for quite some time, she was missed! Finally moved where the ISP could provide the Wi-Fi needed to have her again so not only using the existing Canister (1st Gen) and dots were able to add to them with the updated generation of dots an my family and I love the convenience. It's like hiring a personal assistant with a talent who can entertain us for around the house to help with everything from looking up information on the fly and adding things were out of to a shopping list we can access from our cellphones so we don't forget to replace what is needed when were out shopping to looking up recipes while were in the kitchen and we don't need to use up quite costly ink to print them out. We can set timers and reminders and even shop for things we are in need of or reorder things we've purchased in the past. Almost too good to call a personal assistant because you don't have to keep paying her to do the thing she will do for you past buying the initial unit chosen for your particular application. She also plays our favorite music and or even radio stations and so much more. Being 81 it's nice knowing if I need it I can even ask her to call for help if I can't reach a phone.Dots are great, no need for more than your Wi-Fi, a power outlet and of course your Prime Membership helps I'm sure. I have one in the car, on my cellphone, and in every room of my home including but not limited to one out on my patio where I garden and have my coffee and another out in my barn where I tinker around much of the time building things from wood. The drop-in feature has been an awesome intercom to communicate with anyone from and to anywhere in my home they may be.","July 18, 2022",United States 🇺🇸,B07FZ8S74R,4,0.9769
30,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",1.0 out of 5 stars,Perfect for all the other rooms of my house. I have my main Echo in my living room and had two other Dots in other rooms. Just bought my 3rd dot for my newly finished family room in the basement. I just can't live without being able to talk to my friendly assistant Alexa! Great quality as always. Easy to set up and add to my home.,"October 7, 2022",United States 🇺🇸,B07FZ8S74R,1,0.9348
31,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"I have this at my desk in my home and it's so convenient for me that I would be sad to be without it. Good morning tells me weather, news, events. I can play any song I think of with Amazon Music. I can set reminders and alarms. Ask the time if I'm on a deadline. It's just so nice to have.","October 13, 2022",United States 🇺🇸,B07FZ8S74R,5,0.0285
